id,key,value,type
62937489,source,massgis_import_v0.1_20071009085127,regular
62937489,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62937745,source,massgis_import_v0.1_20071009085127,regular
62937967,source,massgis_import_v0.1_20071009085127,regular
62937967,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938102,source,massgis_import_v0.1_20071009085127,regular
62938102,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938124,source,massgis_import_v0.1_20071009085127,regular
62938202,source,massgis_import_v0.1_20071009085127,regular
62938202,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938303,source,massgis_import_v0.1_20071009085127,regular
62938303,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938349,source,massgis_import_v0.1_20071009085127,regular
62938375,source,massgis_import_v0.1_20071009085127,regular
62938469,source,massgis_import_v0.1_20071009085127,regular
62938497,source,massgis_import_v0.1_20071009085127,regular
62938497,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938507,source,massgis_import_v0.1_20071009085127,regular
62938507,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938665,source,massgis_import_v0.1_20071009085127,regular
62938742,source,massgis_import_v0.1_20071009085127,regular
62938742,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938759,source,massgis_import_v0.1_20071009085127,regular
62938767,source,massgis_import_v0.1_20071009085127,regular
62938767,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938768,source,massgis_import_v0.1_20071009085127,regular
62938954,source,massgis_import_v0.1_20071009085127,regular
62938954,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62938963,source,massgis_import_v0.1_20071009085127,regular
62938963,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939247,source,massgis_import_v0.1_20071009085127,regular
62939247,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939295,source,massgis_import_v0.1_20071009085127,regular
62939314,source,massgis_import_v0.1_20071009085127,regular
62939314,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939480,source,massgis_import_v0.1_20071009085127,regular
62939480,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939489,source,massgis_import_v0.1_20071009085127,regular
62939489,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939561,source,massgis_import_v0.1_20071009085127,regular
62939561,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939562,source,massgis_import_v0.1_20071009085127,regular
62939562,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939620,source,massgis_import_v0.1_20071009085127,regular
62939620,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939708,source,massgis_import_v0.1_20071009085127,regular
62939708,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939793,source,massgis_import_v0.1_20071009085127,regular
62939793,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939855,source,massgis_import_v0.1_20071009085127,regular
62939855,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939878,source,massgis_import_v0.1_20071009085127,regular
62939878,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939911,source,massgis_import_v0.1_20071009085127,regular
62939911,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939916,source,massgis_import_v0.1_20071009085127,regular
62939916,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939942,source,massgis_import_v0.1_20071009085127,regular
62939958,source,massgis_import_v0.1_20071009085127,regular
62939958,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62939989,source,massgis_import_v0.1_20071009085127,regular
62939989,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940040,source,massgis_import_v0.1_20071009085127,regular
62940040,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940179,source,massgis_import_v0.1_20071009085127,regular
62940179,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940355,source,massgis_import_v0.1_20071009085127,regular
62940355,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940361,source,massgis_import_v0.1_20071009085127,regular
62940361,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940462,source,massgis_import_v0.1_20071009085127,regular
62940462,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940571,source,massgis_import_v0.1_20071009085127,regular
62940664,source,massgis_import_v0.1_20071009085127,regular
62940664,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940763,source,massgis_import_v0.1_20071009085127,regular
62940763,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940838,source,massgis_import_v0.1_20071009085127,regular
62940838,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940881,source,massgis_import_v0.1_20071009085127,regular
62940881,attribution,Office of Geographic and Environmental Information (MassGIS),regular
62940948,source,massgis_import_v0.1_20071009085127,regular
