id,user,uid,version,changeset,timestamp
8766674,NE2,207745,7,12675682,2012-08-10T03:57:29Z
8766737,FourOhFour,98087,3,7390474,2011-02-25T13:29:43Z
8766766,FourOhFour,98087,3,7390474,2011-02-25T13:29:43Z
8766767,FourOhFour,98087,4,7387162,2011-02-25T03:03:21Z
8766850,NE2,207745,5,6825889,2011-01-01T09:09:06Z
8766863,NE2,207745,9,12675682,2012-08-10T03:57:22Z
8766956,MassGIS Import,15750,1,85717,2007-10-10T13:58:55Z
8766957,Tomash Pilshchik,24403,2,14785290,2013-01-25T20:04:33Z
8766958,Tomash Pilshchik,24403,2,14785290,2013-01-25T20:04:33Z
8766982,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:31Z
8766983,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:30Z
8766984,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:30Z
8767010,Tomash Pilshchik,24403,2,14785119,2013-01-25T19:50:42Z
8767016,FourOhFour,98087,3,7387162,2011-02-25T03:03:22Z
8767050,JasonWoof,23351,3,4453016,2010-04-17T22:24:04Z
8767054,FourOhFour,98087,2,1019551,2009-04-29T19:51:51Z
8767055,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:30Z
8767070,Tomash Pilshchik,24403,2,14785290,2013-01-25T20:04:33Z
8767073,FourOhFour,98087,2,1019551,2009-04-29T19:51:44Z
8767076,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:31Z
8767213,FourOhFour,98087,4,1019654,2009-04-29T19:58:01Z
8767215,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:30Z
8767218,FourOhFour,98087,3,7387162,2011-02-25T03:03:27Z
8767223,Tomash Pilshchik,24403,2,14785119,2013-01-25T19:50:42Z
8767254,FourOhFour,98087,2,1019551,2009-04-29T19:54:20Z
8767255,MassGIS Import,15750,1,85717,2007-10-10T14:00:03Z
8767257,MassGIS Import,15750,1,85717,2007-10-10T14:00:04Z
8767301,gortume,5223115,5,45862530,2017-02-06T18:08:38Z
8767360,NE2,207745,4,8812374,2011-07-24T07:32:57Z
8767499,Tomash Pilshchik,24403,4,14785211,2013-01-25T19:58:54Z
8767641,NE2,207745,5,8812374,2011-07-24T07:32:57Z
8767719,NE2,207745,2,9896563,2011-11-21T14:58:27Z
8767732,OceanVortex,354704,4,18701221,2013-11-03T20:01:21Z
8767825,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:25Z
8767826,FourOhFour,98087,5,7390474,2011-02-25T13:29:44Z
8767828,FourOhFour,98087,3,7387162,2011-02-25T03:03:21Z
8767891,Z6Z168QM3Y2MNVVR,2935895,11,31490935,2015-05-26T23:09:32Z
8767927,gortume,5223115,5,45862530,2017-02-06T18:08:39Z
8767938,gortume,5223115,3,45862530,2017-02-06T18:08:41Z
8767972,MassGIS Import,15750,1,85717,2007-10-10T14:02:52Z
8767978,OceanVortex,354704,3,18701221,2013-11-03T20:01:19Z
8767984,FourOhFour,98087,2,1019551,2009-04-29T19:52:59Z
8768001,j3d,680121,6,22220067,2014-05-08T21:59:15Z
8768173,FourOhFour,98087,4,7390474,2011-02-25T13:29:47Z
8768175,FourOhFour,98087,5,7387162,2011-02-25T03:03:26Z
8768186,FourOhFour,98087,4,7387162,2011-02-25T03:03:27Z
8768206,Z6Z168QM3Y2MNVVR,2935895,6,32007585,2015-06-16T14:16:31Z
8768241,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:30Z
8768286,Z6Z168QM3Y2MNVVR,2935895,8,31490935,2015-05-26T23:09:29Z
8768349,MassGIS Import,15750,1,85717,2007-10-10T14:04:30Z
8768357,Tomash Pilshchik,24403,2,14666816,2013-01-15T22:04:29Z
8768528,MassGIS Import,15750,1,85717,2007-10-10T14:05:07Z
8768718,FourOhFour,98087,4,1019551,2009-04-29T19:53:26Z
8768721,FourOhFour,98087,4,7387162,2011-02-25T03:03:20Z
8768725,NE2,207745,4,9896563,2011-11-21T13:30:34Z
8768729,NE2,207745,5,9896563,2011-11-21T13:30:11Z
8882181,MassGIS Import,15750,1,101798,2007-10-11T17:56:17Z
8882187,MassGIS Import,15750,1,101798,2007-10-11T17:56:20Z
8882194,user_599436,599436,6,35174522,2015-11-08T17:49:04Z
8882195,user_599436,599436,6,35174522,2015-11-08T17:49:05Z
8882196,RacerChick,2119035,7,31904934,2015-06-11T19:19:58Z
8882201,RacerChick,2119035,6,31904934,2015-06-11T19:19:59Z
8882205,MassGIS Import,15750,1,101798,2007-10-11T17:56:27Z
8882206,MassGIS Import,15750,1,101798,2007-10-11T17:56:28Z
8882212,MassGIS Import,15750,1,101798,2007-10-11T17:56:30Z
8882214,MassGIS Import,15750,1,101798,2007-10-11T17:56:31Z
8882216,MassGIS Import,15750,1,101798,2007-10-11T17:56:32Z
8882219,MassGIS Import,15750,1,101798,2007-10-11T17:56:33Z
8882224,MassGIS Import,15750,1,101798,2007-10-11T17:56:35Z
8882231,MassGIS Import,15750,1,101798,2007-10-11T17:56:37Z
8882238,MassGIS Import,15750,1,101798,2007-10-11T17:56:40Z
8882239,NE2,207745,2,8812374,2011-07-24T07:39:37Z
8882243,MassGIS Import,15750,1,101798,2007-10-11T17:56:42Z
8882249,MassGIS Import,15750,1,101798,2007-10-11T17:56:45Z
8882250,MassGIS Import,15750,1,101798,2007-10-11T17:56:45Z
8882251,MassGIS Import,15750,1,101798,2007-10-11T17:56:46Z
8882254,MassGIS Import,15750,1,101798,2007-10-11T17:56:47Z
8882256,MassGIS Import,15750,1,101798,2007-10-11T17:56:48Z
8882259,MassGIS Import,15750,1,101798,2007-10-11T17:56:49Z
8882262,user_599436,599436,4,35174522,2015-11-08T18:06:30Z
8882268,MassGIS Import,15750,1,101798,2007-10-11T17:56:52Z
8882274,KristenK,1494110,3,20664743,2014-02-19T21:36:23Z
8882275,MassGIS Import,15750,1,101798,2007-10-11T17:56:56Z
8882278,MassGIS Import,15750,1,101798,2007-10-11T17:56:58Z
8882294,MassGIS Import,15750,1,101798,2007-10-11T17:57:04Z
8882298,OceanVortex,354704,2,18720717,2013-11-04T21:58:07Z
8882301,MassGIS Import,15750,1,101798,2007-10-11T17:57:07Z
8882304,MassGIS Import,15750,1,101798,2007-10-11T17:57:07Z
8882305,MassGIS Import,15750,1,101798,2007-10-11T17:57:08Z
8882310,MassGIS Import,15750,1,101798,2007-10-11T17:57:08Z
8882312,MassGIS Import,15750,1,101798,2007-10-11T17:57:10Z
8882313,NE2,207745,6,13218737,2012-09-23T11:32:41Z
8882315,MassGIS Import,15750,1,101798,2007-10-11T17:57:11Z
8882317,MassGIS Import,15750,1,101798,2007-10-11T17:57:12Z
8882319,MassGIS Import,15750,1,101798,2007-10-11T17:57:12Z
8882321,MassGIS Import,15750,1,101798,2007-10-11T17:57:12Z
8882331,RacerChick,2119035,3,31904934,2015-06-11T19:20:09Z
8882334,NE2,207745,11,9896563,2011-11-21T13:43:42Z
8882336,MassGIS Import,15750,1,101798,2007-10-11T17:57:19Z
8882344,MassGIS Import,15750,1,101798,2007-10-11T17:57:21Z
8882358,MassGIS Import,15750,1,101798,2007-10-11T17:57:26Z
8882361,user_599436,599436,4,35174522,2015-11-08T18:06:31Z
8882362,MassGIS Import,15750,1,101798,2007-10-11T17:57:27Z
8882364,MassGIS Import,15750,1,101798,2007-10-11T17:57:27Z
8882368,NE2,207745,6,13218737,2012-09-23T11:32:08Z
8882373,MassGIS Import,15750,1,101798,2007-10-11T17:57:31Z
8882375,user_599436,599436,6,35174522,2015-11-08T17:49:35Z
8882382,MassGIS Import,15750,1,101798,2007-10-11T17:57:35Z
8882392,MassGIS Import,15750,1,101798,2007-10-11T17:57:37Z
8882395,OceanVortex,354704,2,18721713,2013-11-04T23:42:34Z
8882396,user_599436,599436,3,35174522,2015-11-08T17:49:07Z
8882401,MassGIS Import,15750,1,101798,2007-10-11T17:57:41Z
8882403,MassGIS Import,15750,1,101798,2007-10-11T17:57:42Z
8882405,MassGIS Import,15750,1,101798,2007-10-11T17:57:43Z
8882409,MassGIS Import,15750,1,101798,2007-10-11T17:57:44Z
8882410,MassGIS Import,15750,1,101798,2007-10-11T17:57:44Z
8882411,MassGIS Import,15750,1,101798,2007-10-11T17:57:45Z
8882412,MassGIS Import,15750,1,101798,2007-10-11T17:57:45Z
8882424,MassGIS Import,15750,1,101798,2007-10-11T17:57:49Z
8882431,MassGIS Import,15750,1,101798,2007-10-11T17:57:51Z
8882442,MassGIS Import,15750,1,101798,2007-10-11T17:57:56Z
8882444,RacerChick,2119035,9,31904934,2015-06-11T19:19:57Z
8882445,MassGIS Import,15750,1,101798,2007-10-11T17:57:57Z
8882448,MassGIS Import,15750,1,101798,2007-10-11T17:57:59Z
8882450,MassGIS Import,15750,1,101798,2007-10-11T17:57:59Z
8882453,MassGIS Import,15750,1,101798,2007-10-11T17:58:01Z
8882458,hofoen,52797,6,38783072,2016-04-22T11:38:52Z
8882459,MassGIS Import,15750,1,101798,2007-10-11T17:58:03Z
8882468,MassGIS Import,15750,1,101798,2007-10-11T17:58:07Z
8882478,user_599436,599436,6,35174522,2015-11-08T17:49:33Z
8882483,MassGIS Import,15750,1,101798,2007-10-11T17:58:12Z
8882487,MassGIS Import,15750,1,101798,2007-10-11T17:58:13Z
8882494,user_599436,599436,2,35174522,2015-11-08T17:49:04Z
