id,key,value,type
8766674,ramp,yes,regular
8766674,lanes,1,regular
8766674,width,15.2,regular
8766674,oneway,yes,regular
8766674,source,massgis_import_v0.1_20071009085127,regular
8766674,highway,motorway_link,regular
8766674,condition,good,regular
8766674,orig_name,Ramp-lower Westfield Rd To Rt 91;Ramp-rt 91 Nb To Lower Westfield,regular
8766674,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766674,way_id,144594;136269,massgis
8766737,name,Whitney Avenue,regular
8766737,width,12.2,regular
8766737,oneway,yes,regular
8766737,source,massgis_import_v0.1_20071009085127,regular
8766737,highway,secondary,regular
8766737,condition,good,regular
8766737,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766737,way_id,204599,massgis
8766766,name,Holyoke Street,regular
8766766,width,14.6,regular
8766766,oneway,yes,regular
8766766,source,massgis_import_v0.1_20071009085127,regular
8766766,highway,unclassified,regular
8766766,condition,fair,regular
8766766,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766766,way_id,182460,massgis
8766767,name,Holyoke Street,regular
8766767,lanes,2,regular
8766767,width,14.6,regular
8766767,oneway,yes,regular
8766767,source,massgis_import_v0.1_20071009085127,regular
8766767,highway,unclassified,regular
8766767,condition,fair,regular
8766767,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766767,way_id,182460,massgis
8766850,ref,US 5,regular
8766850,name,Ingleside Street,regular
8766850,lanes,2,regular
8766850,width,16.8,regular
8766850,oneway,yes,regular
8766850,source,massgis_import_v0.1_20071009085127,regular
8766850,highway,primary,regular
8766850,condition,fair,regular
8766850,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766850,way_id,199764,massgis
8766863,ramp,yes,regular
8766863,lanes,1,regular
8766863,width,15.2,regular
8766863,oneway,yes,regular
8766863,source,massgis_import_v0.1_20071009085127,regular
8766863,highway,motorway_link,regular
8766863,condition,good,regular
8766863,orig_name,Ramp-lower Westfield Rd To Rt 91;Ramp-rt 91 Sb To Lower Westfield,regular
8766863,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766863,way_id,113653;136269,massgis
8766956,source,massgis_import_v0.1_20071009085127,regular
8766956,highway,residential,regular
8766956,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766956,way_id,137,massgis
8766957,source,massgis_import_v0.1_20071009085127,regular
8766957,highway,service,regular
8766957,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766957,way_id,137,massgis
8766958,source,massgis_import_v0.1_20071009085127,regular
8766958,highway,service,regular
8766958,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766958,way_id,137,massgis
8766982,source,massgis_import_v0.1_20071009085127,regular
8766982,highway,service,regular
8766982,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766982,way_id,137,massgis
8766983,source,massgis_import_v0.1_20071009085127,regular
8766983,highway,service,regular
8766983,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766983,way_id,137,massgis
8766984,source,massgis_import_v0.1_20071009085127,regular
8766984,highway,service,regular
8766984,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8766984,way_id,137,massgis
8767010,source,massgis_import_v0.1_20071009085127,regular
8767010,highway,service,regular
8767010,service,parking_aisle,regular
8767010,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767010,way_id,137,massgis
8767016,source,massgis_import_v0.1_20071009085127,regular
8767016,highway,service,regular
8767016,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767016,way_id,137,massgis
8767050,source,massgis_import_v0.1_20071009085127,regular
8767050,highway,track,regular
8767050,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767050,way_id,137,massgis
8767054,source,massgis_import_v0.1_20071009085127,regular
8767054,highway,service,regular
8767054,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767054,way_id,137,massgis
8767055,source,massgis_import_v0.1_20071009085127,regular
8767055,highway,service,regular
8767055,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767055,way_id,137,massgis
8767070,source,massgis_import_v0.1_20071009085127,regular
8767070,highway,service,regular
8767070,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767070,way_id,137,massgis
8767073,source,massgis_import_v0.1_20071009085127,regular
8767073,highway,service,regular
8767073,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767073,way_id,137,massgis
8767076,source,massgis_import_v0.1_20071009085127,regular
8767076,highway,service,regular
8767076,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767076,way_id,137,massgis
8767213,source,massgis_import_v0.1_20071009085127,regular
8767213,highway,service,regular
8767213,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767213,way_id,137,massgis
8767215,source,massgis_import_v0.1_20071009085127,regular
8767215,highway,service,regular
8767215,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767215,way_id,137,massgis
8767218,source,massgis_import_v0.1_20071009085127,regular
8767218,highway,service,regular
8767218,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767218,way_id,137,massgis
8767223,source,massgis_import_v0.1_20071009085127,regular
8767223,highway,service,regular
8767223,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767223,way_id,137,massgis
8767254,source,massgis_import_v0.1_20071009085127,regular
8767254,highway,service,regular
8767254,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767254,way_id,137,massgis
8767255,source,massgis_import_v0.1_20071009085127,regular
8767255,highway,residential,regular
8767255,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767255,way_id,137,massgis
8767257,source,massgis_import_v0.1_20071009085127,regular
8767257,highway,residential,regular
8767257,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767257,way_id,137,massgis
8767301,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767301,highway,cycleway,regular
8767301,way_id,137,massgis
8767301,source,massgis_import_v0.1_20071009085127,regular
8767360,name,Holyoke Street,regular
8767360,lanes,2,regular
8767360,width,30.2,regular
8767360,oneway,yes,regular
8767360,source,massgis_import_v0.1_20071009085127,regular
8767360,highway,residential,regular
8767360,maxspeed,30 mph,regular
8767360,condition,good,regular
8767360,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767360,way_id,182460,massgis
8767360,maxspeed,massgis,source
8767499,name,Main Street,regular
8767499,lanes,1,regular
8767499,width,18.3,regular
8767499,oneway,yes,regular
8767499,source,massgis_import_v0.1_20071009085127,regular
8767499,highway,secondary,regular
8767499,condition,fair,regular
8767499,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767499,way_id,194349,massgis
8767641,name,Holyoke Street,regular
8767641,lanes,2,regular
8767641,width,30.2,regular
8767641,oneway,yes,regular
8767641,source,massgis_import_v0.1_20071009085127,regular
8767641,highway,residential,regular
8767641,maxspeed,30 mph,regular
8767641,condition,good,regular
8767641,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767641,way_id,182460,massgis
8767641,maxspeed,massgis,source
8767719,hgv,yes,regular
8767719,name,Jug Handle Road,regular
8767719,note,FIXME unreviewed oneway,regular
8767719,lanes,2,regular
8767719,width,8.2,regular
8767719,oneway,yes,regular
8767719,source,massgis_import_v0.1_20071009085127,regular
8767719,highway,residential,regular
8767719,condition,fair,regular
8767719,hgv,MassGIS,source
8767719,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767719,way_id,146045,massgis
8767732,lanes,2,regular
8767732,width,9.1,regular
8767732,source,massgis_import_v0.1_20071009085127,regular
8767732,highway,tertiary,regular
8767732,condition,fair,regular
8767732,attribution,Office of Geographic and Environmental Information (MassGIS),regular
8767732,way_id,199498,massgis
8767825,name,Brightside Drive,regular
8767825,lanes,2,regular
